"year","seasons","districts","crop_type","production","arable_size","air_temp","atm_pressure","evapo_trans","humidity","l_stemp","ndvi","rainfall","soil_moisture","solar_rad","wind_force"
2021,"Season A","Burera","sweet_potatoes",25085.76,2702.36,14,794.35,0.18,69.9,20.06,0.1,141.04,0.55,323.55,-0.41
2018,"Season A","Burera","vegetables",12709.65,11727.43,20.07,782.77,0.11,63.88,21.68,0,166.02,0.34,324.94,-0.66
2018,"Season A","Burera","vegetables",10694.28,377.01,20.07,782.77,0.11,63.88,21.68,0,166.02,0.34,324.94,-0.66
2019,"Season A","Burera","vegetables",5000,563,19.54,784.62,0.11,69.94,21.02,0.04,113.96,0.56,325.54,-0.5
2020,"Season A","Burera","vegetables",9.8,22.5,10.41,777.39,0.13,67.6,21.24,0.04,107.94,0.52,324.72,-0.53
2021,"Season A","Burera","vegetables",9274.24,12938.55,14,794.35,0.18,69.9,20.06,0.1,141.04,0.55,323.55,-0.41
2021,"Season A","Burera","vegetables",2094.58,300.3,14,794.35,0.18,69.9,20.06,0.1,141.04,0.55,323.55,-0.41
2018,"Season A","Burera","yams",265.03,88.01,20.07,782.77,0.11,63.88,21.68,0,166.02,0.34,324.94,-0.66
2020,"Season A","Burera","yams",51591.49,5250.89,10.41,777.39,0.13,67.6,21.24,0.04,107.94,0.52,324.72,-0.53
2021,"Season A","Burera","yams",296.43,44.44,14,794.35,0.18,69.9,20.06,0.1,141.04,0.55,323.55,-0.41
2018,"Season A","Gakenke","banana",20681.5,2117.45,21.29,782.3,0.08,59.48,22.88,0.04,137.2,0.31,329.73,-0.88
2018,"Season A","Gakenke","banana",14790.2,2383.33,21.29,782.3,0.08,59.48,22.88,0.04,137.2,0.31,329.73,-0.88
2018,"Season A","Gakenke","banana",46538.24,7685.58,21.29,782.3,0.08,59.48,22.88,0.04,137.2,0.31,329.73,-0.88
2019,"Season A","Gakenke","banana",67965,14765,20.51,784.24,0.12,66.46,21.89,0,131,0.51,330.14,-0.65
2020,"Season A","Gakenke","banana",14228.69,2803.21,11.53,776.91,0.14,62.68,22.31,0.15,102.48,0.44,329.37,-0.71
2020,"Season A","Gakenke","banana",6902.7,1804.72,11.53,776.91,0.14,62.68,22.31,0.15,102.48,0.44,329.37,-0.71
2020,"Season A","Gakenke","banana",43994.57,9252.39,11.53,776.91,0.14,62.68,22.31,0.15,102.48,0.44,329.37,-0.71
2021,"Season A","Gakenke","banana",13933.14,2658.13,15.12,793.89,0.22,66.86,21.29,0.24,147.52,0.41,328.43,-0.5
2021,"Season A","Gakenke","banana",6703.9,2012.83,15.12,793.89,0.22,66.86,21.29,0.24,147.52,0.41,328.43,-0.5
2021,"Season A","Gakenke","banana",47370.35,9605.6,15.12,793.89,0.22,66.86,21.29,0.24,147.52,0.41,328.43,-0.5
2018,"Season A","Gakenke","beans",873.52,1769.85,21.29,782.3,0.08,59.48,22.88,0.04,137.2,0.31,329.73,-0.88
2018,"Season A","Gakenke","beans",4217.67,5157.35,21.29,782.3,0.08,59.48,22.88,0.04,137.2,0.31,329.73,-0.88
2018,"Season A","Gakenke","beans",7561.81,8544.85,21.29,782.3,0.08,59.48,22.88,0.04,137.2,0.31,329.73,-0.88
2019,"Season A","Gakenke","beans",9723,10223,20.51,784.24,0.12,66.46,21.89,0,131,0.51,330.14,-0.65
2020,"Season A","Gakenke","beans",598,1404.46,11.53,776.91,0.14,62.68,22.31,0.15,102.48,0.44,329.37,-0.71
2020,"Season A","Gakenke","beans",4371.91,7582.74,11.53,776.91,0.14,62.68,22.31,0.15,102.48,0.44,329.37,-0.71
2021,"Season A","Gakenke","beans",1000.82,1977.66,15.12,793.89,0.22,66.86,21.29,0.24,147.52,0.41,328.43,-0.5
2021,"Season A","Gakenke","beans",3422.04,4270.39,15.12,793.89,0.22,66.86,21.29,0.24,147.52,0.41,328.43,-0.5
2021,"Season A","Gakenke","beans",5843.27,6563.12,15.12,793.89,0.22,66.86,21.29,0.24,147.52,0.41,328.43,-0.5
2018,"Season A","Gakenke","Cassava",3541.02,5199.01,21.29,782.3,0.08,59.48,22.88,0.04,137.2,0.31,329.73,-0.88
2019,"Season A","Gakenke","Cassava",9463,4327,20.51,784.24,0.12,66.46,21.89,0,131,0.51,330.14,-0.65
2020,"Season A","Gakenke","Cassava",13492.95,6559.45,11.53,776.91,0.14,62.68,22.31,0.15,102.48,0.44,329.37,-0.71
2021,"Season A","Gakenke","Cassava",13565.11,6856.74,15.12,793.89,0.22,66.86,21.29,0.24,147.52,0.41,328.43,-0.5
2018,"Season A","Gakenke","irish_potatoes",11974.04,2118.54,21.29,782.3,0.08,59.48,22.88,0.04,137.2,0.31,329.73,-0.88
2019,"Season A","Gakenke","irish_potatoes",12537,1831,20.51,784.24,0.12,66.46,21.89,0,131,0.51,330.14,-0.65
2020,"Season A","Gakenke","irish_potatoes",7870.27,1219.37,11.53,776.91,0.14,62.68,22.31,0.15,102.48,0.44,329.37,-0.71
2021,"Season A","Gakenke","irish_potatoes",6418.11,1157.19,15.12,793.89,0.22,66.86,21.29,0.24,147.52,0.41,328.43,-0.5
2018,"Season A","Gakenke","Maize",15902.62,9716.32,21.29,782.3,0.08,59.48,22.88,0.04,137.2,0.31,329.73,-0.88
2019,"Season A","Gakenke","Maize",12120,9564,20.51,784.24,0.12,66.46,21.89,0,131,0.51,330.14,-0.65
2020,"Season A","Gakenke","Maize",18682.86,11525.16,11.53,776.91,0.14,62.68,22.31,0.15,102.48,0.44,329.37,-0.71
2021,"Season A","Gakenke","Maize",18428.34,11195.15,15.12,793.89,0.22,66.86,21.29,0.24,147.52,0.41,328.43,-0.5
2021,"Season A","Gakenke","Sorghum",73.99,47.49,15.12,793.89,0.22,66.86,21.29,0.24,147.52,0.41,328.43,-0.5
2018,"Season A","Gakenke","soya",316.25,877.33,21.29,782.3,0.08,59.48,22.88,0.04,137.2,0.31,329.73,-0.88
2019,"Season A","Gakenke","soya",171,360,20.51,784.24,0.12,66.46,21.89,0,131,0.51,330.14,-0.65
2020,"Season A","Gakenke","soya",234.98,502.37,11.53,776.91,0.14,62.68,22.31,0.15,102.48,0.44,329.37,-0.71
2021,"Season A","Gakenke","soya",396.61,738.4,15.12,793.89,0.22,66.86,21.29,0.24,147.52,0.41,328.43,-0.5
2018,"Season A","Gakenke","sweet_potatoes",37771.1,5460.09,21.29,782.3,0.08,59.48,22.88,0.04,137.2,0.31,329.73,-0.88
2019,"Season A","Gakenke","sweet_potatoes",72243,7499,20.51,784.24,0.12,66.46,21.89,0,131,0.51,330.14,-0.65
2020,"Season A","Gakenke","sweet_potatoes",49557.05,6021.88,11.53,776.91,0.14,62.68,22.31,0.15,102.48,0.44,329.37,-0.71
2021,"Season A","Gakenke","sweet_potatoes",51055.71,8205.92,15.12,793.89,0.22,66.86,21.29,0.24,147.52,0.41,328.43,-0.5
2018,"Season A","Gakenke","vegetables",9206.99,11817.63,21.29,782.3,0.08,59.48,22.88,0.04,137.2,0.31,329.73,-0.88
2018,"Season A","Gakenke","vegetables",3652.01,385.18,21.29,782.3,0.08,59.48,22.88,0.04,137.2,0.31,329.73,-0.88
2019,"Season A","Gakenke","vegetables",3476,288,20.51,784.24,0.12,66.46,21.89,0,131,0.51,330.14,-0.65
2020,"Season A","Gakenke","vegetables",3572.29,441.35,11.53,776.91,0.14,62.68,22.31,0.15,102.48,0.44,329.37,-0.71
2021,"Season A","Gakenke","vegetables",7735.96,9927.29,15.12,793.89,0.22,66.86,21.29,0.24,147.52,0.41,328.43,-0.5
2021,"Season A","Gakenke","vegetables",3333.09,488.62,15.12,793.89,0.22,66.86,21.29,0.24,147.52,0.41,328.43,-0.5
2018,"Season A","Gakenke","yams",4181.81,904.86,21.29,782.3,0.08,59.48,22.88,0.04,137.2,0.31,329.73,-0.88
2019,"Season A","Gakenke","yams",6507,1190,20.51,784.24,0.12,66.46,21.89,0,131,0.51,330.14,-0.65
2020,"Season A","Gakenke","yams",7272.38,1589.86,11.53,776.91,0.14,62.68,22.31,0.15,102.48,0.44,329.37,-0.71
2021,"Season A","Gakenke","yams",8610.99,1331.59,15.12,793.89,0.22,66.86,21.29,0.24,147.52,0.41,328.43,-0.5
2018,"Season A","Gasabo","banana",3420.81,951.04,22.76,782.25,0.06,57.01,24.37,0.19,95.2,0.31,339.72,-0.86
2018,"Season A","Gasabo","banana",3135.69,598.2,22.76,782.25,0.06,57.01,24.37,0.19,95.2,0.31,339.72,-0.86
2018,"Season A","Gasabo","banana",1719.64,713.86,22.76,782.25,0.06,57.01,24.37,0.19,95.2,0.31,339.72,-0.86
2019,"Season A","Gasabo","banana",18247,4467,21.86,784.17,0.12,65.41,23.22,0.2,106.82,0.49,340.76,-0.61
2020,"Season A","Gasabo","banana",9208.88,1946.5,13.01,776.83,0.13,61.13,23.8,0.18,97.94,0.4,340.07,-0.66
2020,"Season A","Gasabo","banana",2739.95,969.49,13.01,776.83,0.13,61.13,23.8,0.18,97.94,0.4,340.07,-0.66
2020,"Season A","Gasabo","banana",7441.44,1808.33,13.01,776.83,0.13,61.13,23.8,0.18,97.94,0.4,340.07,-0.66
2021,"Season A","Gasabo","banana",9585.62,2113.16,16.61,793.77,0.22,64.41,22.93,0.11,121.08,0.35,338.56,-0.37
2021,"Season A","Gasabo","banana",2839.48,997.7,16.61,793.77,0.22,64.41,22.93,0.11,121.08,0.35,338.56,-0.37
2021,"Season A","Gasabo","banana",7939.7,1892.49,16.61,793.77,0.22,64.41,22.93,0.11,121.08,0.35,338.56,-0.37
2018,"Season A","Gasabo","beans",7828.34,7421.82,22.76,782.25,0.06,57.01,24.37,0.19,95.2,0.31,339.72,-0.86
2018,"Season A","Gasabo","beans",3.09,3756.74,22.76,782.25,0.06,57.01,24.37,0.19,95.2,0.31,339.72,-0.86
2018,"Season A","Gasabo","beans",83.24,91.65,22.76,782.25,0.06,57.01,24.37,0.19,95.2,0.31,339.72,-0.86
2019,"Season A","Gasabo","beans",5478,7626,21.86,784.17,0.12,65.41,23.22,0.2,106.82,0.49,340.76,-0.61
2020,"Season A","Gasabo","beans",4152.68,7142.86,13.01,776.83,0.13,61.13,23.8,0.18,97.94,0.4,340.07,-0.66
2020,"Season A","Gasabo","beans",187.59,251.28,13.01,776.83,0.13,61.13,23.8,0.18,97.94,0.4,340.07,-0.66
2021,"Season A","Gasabo","beans",5040.02,8847.42,16.61,793.77,0.22,64.41,22.93,0.11,121.08,0.35,338.56,-0.37
2021,"Season A","Gasabo","beans",2640.16,4624.94,16.61,793.77,0.22,64.41,22.93,0.11,121.08,0.35,338.56,-0.37
2021,"Season A","Gasabo","beans",240.3,402.47,16.61,793.77,0.22,64.41,22.93,0.11,121.08,0.35,338.56,-0.37
2018,"Season A","Gasabo","Cassava",4497.96,2614.62,22.76,782.25,0.06,57.01,24.37,0.19,95.2,0.31,339.72,-0.86
2019,"Season A","Gasabo","Cassava",7531,2853,21.86,784.17,0.12,65.41,23.22,0.2,106.82,0.49,340.76,-0.61
2020,"Season A","Gasabo","Cassava",9796.97,4155.71,13.01,776.83,0.13,61.13,23.8,0.18,97.94,0.4,340.07,-0.66
2021,"Season A","Gasabo","Cassava",10731.21,4220.88,16.61,793.77,0.22,64.41,22.93,0.11,121.08,0.35,338.56,-0.37
2018,"Season A","Gasabo","irish_potatoes",1884.22,358.3,22.76,782.25,0.06,57.01,24.37,0.19,95.2,0.31,339.72,-0.86
2019,"Season A","Gasabo","irish_potatoes",2928,695,21.86,784.17,0.12,65.41,23.22,0.2,106.82,0.49,340.76,-0.61
2020,"Season A","Gasabo","irish_potatoes",2345.38,470.82,13.01,776.83,0.13,61.13,23.8,0.18,97.94,0.4,340.07,-0.66
2021,"Season A","Gasabo","irish_potatoes",2699.24,626.1,16.61,793.77,0.22,64.41,22.93,0.11,121.08,0.35,338.56,-0.37
2018,"Season A","Gasabo","Maize",4851.29,3768.29,22.76,782.25,0.06,57.01,24.37,0.19,95.2,0.31,339.72,-0.86
2019,"Season A","Gasabo","Maize",2959,4379,21.86,784.17,0.12,65.41,23.22,0.2,106.82,0.49,340.76,-0.61
2020,"Season A","Gasabo","Maize",3327.34,2843.97,13.01,776.83,0.13,61.13,23.8,0.18,97.94,0.4,340.07,-0.66
2021,"Season A","Gasabo","Maize",3612.87,3119.6,16.61,793.77,0.22,64.41,22.93,0.11,121.08,0.35,338.56,-0.37
2018,"Season A","Gasabo","soya",325.48,428.38,22.76,782.25,0.06,57.01,24.37,0.19,95.2,0.31,339.72,-0.86
2019,"Season A","Gasabo","soya",742,482,21.86,784.17,0.12,65.41,23.22,0.2,106.82,0.49,340.76,-0.61
2020,"Season A","Gasabo","soya",145.34,305.74,13.01,776.83,0.13,61.13,23.8,0.18,97.94,0.4,340.07,-0.66
2021,"Season A","Gasabo","soya",119.45,362.76,16.61,793.77,0.22,64.41,22.93,0.11,121.08,0.35,338.56,-0.37
2018,"Season A","Gasabo","sweet_potatoes",11055.62,1300.9,22.76,782.25,0.06,57.01,24.37,0.19,95.2,0.31,339.72,-0.86
2019,"Season A","Gasabo","sweet_potatoes",12185,2172,21.86,784.17,0.12,65.41,23.22,0.2,106.82,0.49,340.76,-0.61
